# Unseeded corpus words
# Each row is attested in the corpus and cannot reach an MDB gloss through the registered resolution paths.
# corpus_sentences: 210204
# corpus_tokens: 1776902
# equivalences_sha256: 5099aaae8ee6a40dc8a03b6502db3b757a49d79671258f0ed172fc2fed426665
# reviews_sha256: none
# scanned_unresolved_occurrences: 113715
# resolved_lexical_equivalence: 26
# resolved_conditioned_form: 190
# resolved_tagger_lemma: 1735
rank	form	occurrences	collection_count	dialect_count	region_count	surfaces	collections	dialects	dialect_paths	regions	tagger_lemmas	tagger_pos	review_disposition	suggested_parse	evidence	note	contexts
208	hetuk	39	5	5	1	"[""hetuk""]"	"[""AA研アイヌ語資料"",""アイヌタイムズ"",""アイヌ語アーカイブ"",""アイヌ語ラジオ講座テキスト"",""アイヌ語鵡川方言日本語‐アイヌ語辞典""]"	"[""北東"",""沙流"",""沙流・千歳"",""静内"",""鵡川""]"	"[""北海道/北東"",""北海道/北東/静内"",""北海道/南西/沙流"",""北海道/南西/鵡川""]"	"[""北海道""]"	"[{""value"":""hetuk"",""count"":39}]"	"[{""value"":""NOUN"",""count"":18}]"	unreviewed				"[{""sentence_id"":""aa-irc/030#14"",""text"":""a=unuhu a=onaha oka wa kusu hetuk hetuk pa p a=ne nankor pe, hinak un a=onautari paye wa isam okake ta ene wa poka iki hi ka isam no"",""translation"":""母と父がいたから生まれたものが私たちであろうに、どこかへ父たちは行ってしまい、その後にどうにもしようもなくて、"",""collection"":""AA研アイヌ語資料"",""document"":""音声資料 川上まつ子さん口演・阪口諒聞き起こし・訳注：uwepeker ウウェペケㇾ 民話 20"",""dialect"":""沙流"",""dialect_path"":""北海道/南西/沙流"",""region"":""北海道"",""uri"":""https://ainugo.aa-ken.jp/main.php?id=30"",""source_slug"":""ilcaa-ainu-materials""},{""sentence_id"":""ainu-times/065/3#8"",""text"":""Kamuy karus anakne akamatsu suttom otta patek hetuk sekor samormosir otta a=ye korka sunku ne ya hup suttom otta ka hetuk ruwe ne."",""translation"":""内地では松掛けは赤松にしか生えないと言われているが、エゾ松にもトド松にも生える。"",""collection"":""アイヌタイムズ"",""document"":""Tan sak"",""dialect"":""沙流・千歳"",""dialect_path"":""北海道/南西/沙流"",""region"":""北海道"",""uri"":""https://otarunay.at-ninja.jp/taimuzu.html"",""source_slug"":""ainu-times""},{""sentence_id"":""chiba-mukawa/0#4186"",""text"":""hetuk"",""translation"":""伸びる、芽が出る"",""collection"":""アイヌ語鵡川方言日本語‐アイヌ語辞典"",""document"":""新井田セイノ氏の言葉"",""dialect"":""鵡川"",""dialect_path"":""北海道/南西/鵡川"",""region"":""北海道"",""uri"":""https://www.gshpa.chiba-u.jp/cas/Ainu-archives/"",""source_slug"":""mukawa-dialect-dictionary-corpus""}]"
209	sensei	39	4	4	1	"[""sensei""]"	"[""アイヌタイムズ"",""アイヌ語ソーシャルメディアコーパス（X/Twitter）"",""アイヌ語鵡川方言日本語‐アイヌ語辞典"",""北海道立アイヌ民族文化研究センター紀要""]"	"[""様似"",""沙流"",""沙流・千歳"",""鵡川""]"	"[""北海道/北東/様似"",""北海道/南西/千歳"",""北海道/南西/沙流"",""北海道/南西/鵡川""]"	"[""北海道""]"	"[{""value"":""sensei"",""count"":39}]"	"[{""value"":""NOUN"",""count"":14},{""value"":""ADV"",""count"":1}]"	unreviewed				"[{""sentence_id"":""ainu-times/004/5#10"",""text"":""…ora kesto ku=nu uepeker or ta k=eramuskari itak ne ya uske an kor turano ci=nu wa eun ku=kopisi ruwe ne. ne húci anakne Kayano nispa néno ku=kor síno pirka Sensei ne ruwe ne na."",""translation"":""萱野茂二風谷アイヌ資料館の近くにある家の中に、サラニㇷ゚でもマタンプシでも、民具 (人の手で作ったもの)を作っているあるフチも、昔の人のように言葉をきちんと言うことはできません。 しかし、聞くとまだちゃんとわかります。私たちが忙しくないときには、 言葉で語り合って、そして毎日私が聞くウエペケに聞いたことのない言葉や箇所があると、 一緒に私たちが聞いて、私はフチに尋ねます。 そのフチは、萱野ニㇱパのように、 私の本当にいい先生ですよ。"",""collection"":""アイヌタイムズ"",""document"":""tane Niptani ta k=an wa..."",""dialect"":""沙流・千歳"",""dialect_path"":""北海道/南西/沙流"",""region"":""北海道"",""uri"":""https://otarunay.at-ninja.jp/taimuzu.html"",""source_slug"":""ainu-times""},{""sentence_id"":""center/017/02#146"",""text"":""oro ta GAKKOU or un SENSEI"",""translation"":""そこに学校の先生が"",""collection"":""北海道立アイヌ民族文化研究センター紀要"",""document"":""和人の散文説話 ― 継母から殺されかけた姉を救った妹 ―"",""dialect"":""沙流"",""dialect_path"":""北海道/南西/沙流"",""region"":""北海道"",""uri"":""https://ainu-center.hm.pref.hokkaido.lg.jp/kankou/kiyou/pdf/kiyou17_02.pdf"",""source_slug"":""hokkaido-ainu-culture-center-bulletin""},{""sentence_id"":""chiba-mukawa/0#5496"",""text"":""numan _wano tanto opitta SENSEI or un nep ne yakka a=en=nure wa ku=nu wa ku=nu wa... akusu ku=sampesituri."",""translation"":""昨日から今日（まで）、全て先生から何でも聞かせてもらって、私は聞いて聞いて、胸がすーっとする。"",""collection"":""アイヌ語鵡川方言日本語‐アイヌ語辞典"",""document"":""新井田セイノ氏の言葉"",""dialect"":""鵡川"",""dialect_path"":""北海道/南西/鵡川"",""region"":""北海道"",""uri"":""https://www.gshpa.chiba-u.jp/cas/Ainu-archives/"",""source_slug"":""mukawa-dialect-dictionary-corpus""}]"
210	siruye	39	4	3	1	"[""siruye""]"	"[""AA研アイヌ語資料"",""アイヌ語アーカイブ"",""アイヌ語ラジオ講座テキスト"",""北海道立アイヌ民族文化研究センター紀要""]"	"[""十勝"",""虻田"",""静内""]"	"[""北海道/北東/十勝"",""北海道/北東/静内"",""北海道/南西/虻田""]"	"[""北海道""]"	"[{""value"":""siruye"",""count"":39}]"	"[{""value"":""VERB"",""count"":21}]"	unreviewed				"[{""sentence_id"":""aa-irc/017#30"",""text"":""a=kor sapo, a=yupihi utar tura ikutasa, yak pirka siruye=an. (kun...)"",""translation"":""お姉さんは、お兄さんたちと宴会に呼ばれると良いよ。留守番しておくから。"",""collection"":""AA研アイヌ語資料"",""document"":""音声資料 織田ステノさん口演・阪口諒聞き起こし・訳注：uwepeker ウウェペケㇾ 民話 Moyuk（前半）"",""dialect"":""静内"",""dialect_path"":""北海道/北東/静内"",""region"":""北海道"",""uri"":""https://ainugo.aa-ken.jp/main.php?id=17"",""source_slug"":""ilcaa-ainu-materials""},{""sentence_id"":""center/016/0#97"",""text"":""pirka siruye"",""translation"":""よい留守番"",""collection"":""北海道立アイヌ民族文化研究センター紀要"",""document"":""アイヌ語虻田方言の英雄叙事詩（yukar）テキストとその言語的特徴（2）"",""dialect"":""虻田"",""dialect_path"":""北海道/南西/虻田"",""region"":""北海道"",""uri"":""https://ainu-center.hm.pref.hokkaido.lg.jp/kankou/kiyou/pdf/kiyou16_01.pdf"",""source_slug"":""hokkaido-ainu-culture-center-bulletin""},{""sentence_id"":""nam-archive/minwa/12#51"",""text"":""siruye eci=ki nankor na”"",""translation"":""留守を守っていておくれ」"",""collection"":""アイヌ語アーカイブ"",""document"":""夜襲から女たちを救った子グマの神（1981）"",""dialect"":null,""dialect_path"":null,""region"":null,""uri"":""https://ainugo.nam.go.jp/search/media?keyword=%22%E6%B0%91%E8%A9%B1%28%EF%BD%B1%29%E5%A4%9C%E8%A5%B2%E3%81%8B%E3%82%89%E5%A5%B3%E3%81%9F%E3%81%A1%E3%82%92%E6%95%91%E3%81%A3%E3%81%9F%E5%AD%90%E3%82%B0%E3%83%9E%E3%81%AE%E7%A5%9E%EF%BC%881981%EF%BC%89%22&typeCont=on"",""source_slug"":""nam-ainu-archive""}]"
211	uskehe	39	4	1	1	"[""uskehe""]"	"[""AA研アイヌ語資料"",""アイヌ語アーカイブ"",""アイヌ語口承文芸コーパス"",""平取町アイヌ口承文芸""]"	"[""沙流""]"	"[""北海道/南西/沙流""]"	"[""北海道""]"	"[{""value"":""uskehe"",""count"":39}]"	"[{""value"":""NOUN"",""count"":3}]"	unreviewed				"[{""sentence_id"":""aa-irc/005#248"",""text"":""ne uskehe a=kar wa parka a=omáre neya cise kotor péka a=racítkere neya,"",""translation"":""この場所で私が作って、棚に入れたり、天井にぶら下げたりして、"",""collection"":""AA研アイヌ語資料"",""document"":""音声資料 「川上まつ子さん口演・浜田隆史聞き起こし・訳注：uwepeker ウウェペケㇾ 民話 7」"",""dialect"":""沙流"",""dialect_path"":""北海道/南西/沙流"",""region"":""北海道"",""uri"":""https://ainugo.aa-ken.jp/main.php?id=4"",""source_slug"":""ilcaa-ainu-materials""},{""sentence_id"":""biratori/002/006#33"",""text"":""ne nesko cise kor kur hotke uskehe"",""translation"":""そのクルミの木は家の主人が寝ているところの枕の下に"",""collection"":""平取町アイヌ口承文芸"",""document"":""ウエペケㇾ「パㇱクㇽ　ウタサ　イタㇰ　ヒ　アヌ」カラスのおしゃべりを聞く"",""dialect"":""沙流"",""dialect_path"":""北海道/南西/沙流"",""region"":""北海道"",""uri"":""https://ainugo.nam.go.jp/search/media?matCd=N002P&typeAudio=on"",""source_slug"":""biratori-ainu-oral-literature""},{""sentence_id"":""nam-archive/kawakami-minwa/14#898"",""text"":""an... susumoto o uskehe ta"",""translation"":""ヤナギの木が生えているところに"",""collection"":""アイヌ語アーカイブ"",""document"":""村長の家に嫁いだ貧しい娘とヤナギの神（1987）"",""dialect"":""沙流"",""dialect_path"":""北海道/南西/沙流"",""region"":""北海道"",""uri"":""https://ainugo.nam.go.jp/search/media?keyword=%22%E5%B7%9D%E4%B8%8A%E3%81%BE%E3%81%A4%E5%AD%90%E3%81%95%E3%82%93%E3%81%AE%E6%B0%91%E8%A9%B1%28%EF%BD%B1%29+%E6%9D%91%E9%95%B7%E3%81%AE%E5%AE%B6%E3%81%AB%E5%AB%81%E3%81%84%E3%81%A0%E8%B2%A7%E3%81%97%E3%81%84%E5%A8%98%E3%81%A8%E3%83%A4%E3%83%8A%E3%82%AE%E3%81%AE%E7%A5%9E%EF%BC%881987%EF%BC%89%22&typeCont=on"",""source_slug"":""nam-ainu-archive""}]"
212	uweturaste	39	4	2	1	"[""uweturaste""]"	"[""AA研アイヌ語資料"",""アイヌタイムズ"",""アイヌ語アーカイブ"",""川上まつ子の伝承""]"	"[""沙流"",""沙流・千歳""]"	"[""北海道/南西/千歳"",""北海道/南西/沙流""]"	"[""北海道""]"	"[{""value"":""uweturaste"",""count"":39}]"	"[{""value"":""NOUN"",""count"":1}]"	unreviewed				"[{""sentence_id"":""aa-irc/005#9"",""text"":""pirka uweturaste a=ki wa oka=an."",""translation"":""私たちは仲むつまじく暮らしていました。"",""collection"":""AA研アイヌ語資料"",""document"":""音声資料 「川上まつ子さん口演・浜田隆史聞き起こし・訳注：uwepeker ウウェペケㇾ 民話 7」"",""dialect"":""沙流"",""dialect_path"":""北海道/南西/沙流"",""region"":""北海道"",""uri"":""https://ainugo.aa-ken.jp/main.php?id=4"",""source_slug"":""ilcaa-ainu-materials""},{""sentence_id"":""ainu-times/033/0#11"",""text"":""tane oka utar anak pirkano yaykosanniyo wa, póho ka mippoho ka pirka uweturaste ki kuni iki yak easir pirka ruwe ne."",""translation"":""今の人たちはよく自らに算段をして、子も孫も仲良くするようにしなければいけません。"",""collection"":""アイヌタイムズ"",""document"":""sine kotan ne a=kar"",""dialect"":""沙流・千歳"",""dialect_path"":""北海道/南西/千歳"",""region"":""北海道"",""uri"":""https://otarunay.at-ninja.jp/taimuzu.html"",""source_slug"":""ainu-times""},{""sentence_id"":""nam-archive/kawakami-minwa/03#8"",""text"":""uweturaste=an wa oka=an pe ne korka"",""translation"":""仲むつまじく暮らしていましたが"",""collection"":""アイヌ語アーカイブ"",""document"":""イクレスイェとミズナラの神（1987）"",""dialect"":""沙流"",""dialect_path"":""北海道/南西/沙流"",""region"":""北海道"",""uri"":""https://ainugo.nam.go.jp/search/media?keyword=%22%E5%B7%9D%E4%B8%8A%E3%81%BE%E3%81%A4%E5%AD%90%E3%81%95%E3%82%93%E3%81%AE%E6%B0%91%E8%A9%B1%28%EF%BD%B1%29+%E3%82%A4%E3%82%AF%E3%83%AC%E3%82%B9%E3%82%A4%E3%82%A7%E3%81%A8%E3%83%9F%E3%82%BA%E3%83%8A%E3%83%A9%E3%81%AE%E7%A5%9E%EF%BC%881987%EF%BC%89%22&typeCont=on"",""source_slug"":""nam-ainu-archive""}]"
213	nukaraha	39	3	2	1	"[""nukaraha""]"	"[""elpr-a2"",""アイヌ語ソーシャルメディアコーパス（X/Twitter）"",""浅井タケ昔話全集 I, II""]"	"[""ライチシカ"",""小田洲""]"	"[""樺太/西海岸/小田洲"",""樺太/西海岸/来知志""]"	"[""樺太""]"	"[{""value"":""nukaraha"",""count"":39}]"	"[{""value"":""NOUN"",""count"":39}]"	unreviewed				"[{""sentence_id"":""aa-asai/001#16"",""text"":""see teh makan cise 'ohta 'ahunihi nukaraha ne'ampe taa, アノ クンチラノ アブラダト. (humpe? humpe kee? M) humpe, humpeノ アブラダト. ソレデ コンド ソノ, アノhekaci reske taa ソノアブラ toto 'ike taa keehe kara teh taa taa 'ani taa neya mahmicihi tura, mahmicihi ッテ イウンダ, (うん、kuwante. M), tah tura taa 'ee yayne コンド monimahpo ponno poro. ponnn…"",""translation"":""背負って上って来て家へ入って来たのを見ると、クジラの脂だったとさ。クジラ、クジラの脂だったとさ。それから、子どもを育ててその脂を炊いて、保存用に分離して、その孫娘と一緒に、孫娘のことはmahmicihiっていうんだ。(うん、分かります。M) その子と一緒に食べているうちにその娘は少し大きくなった。少し大きくなると、炉ぶちのところへ行っては炉ぶちと自分の背を比べるのだとさ。まだ炉ぶちよりも短い。また少し経ったらまた炉ぶちと自分の背を比べたらもう自分の背のほうが長い。いま炉ぶちより大きくなってもう婿取りができるほどになった。婿取りができるほどになって、それから婿をとってそしてそれからその、暮らしていたがやがてババは死んだとさ。"",""collection"":""浅井タケ昔話全集 I, II"",""document"":""さらわれた娘 -84"",""dialect"":""小田洲"",""dialect_path"":""樺太/西海岸/小田洲"",""region"":""樺太"",""uri"":""http://www.aa.tufs.ac.jp/~mmine/kiki_gen/murasaki/at01aj.html"",""source_slug"":""asai-take-folktales""},{""sentence_id"":""elpr-a2/039/fujiyama/003#46"",""text"":""asip =an an= nukaraha neanpe, nea,"",""translation"":""外に出て見たところ、その"",""collection"":""elpr-a2"",""document"":""ウチャシクマ 3 (言い伝え3)"",""dialect"":""ライチシカ"",""dialect_path"":""樺太/西海岸/来知志"",""region"":""樺太"",""uri"":""urn:issn:1346-082X"",""source_slug"":""corpus-sghwzc""},{""sentence_id"":""x-social/aynu_sumari#31"",""text"":""Aynu itakihi Karahuto ipohse nukaraha reekoh pirikaha nee!"",""translation"":null,""collection"":""アイヌ語ソーシャルメディアコーパス（X/Twitter）"",""document"":""AynuSumari (@aynu_sumari)"",""dialect"":null,""dialect_path"":null,""region"":null,""uri"":""https://x.com/aynu_sumari/status/914853825474912257"",""source_slug"":null}]"
214	aacapo	39	2	1	1	"[""aacapo""]"	"[""アイヌ語教材テキスト"",""浅井タケ昔話全集 I, II""]"	"[""小田洲""]"	"[""樺太/西海岸/小田洲""]"	"[""樺太""]"	"[{""value"":""aacapo"",""count"":39}]"	"[{""value"":""NOUN"",""count"":10}]"	unreviewed				"[{""sentence_id"":""aa-asai/014#3"",""text"":""\"" 'aacapo 'aacapo! \"" nah yee teh kocaaranke."",""translation"":""「おじさん、おじさん！」と言って怒った。"",""collection"":""浅井タケ昔話全集 I, II"",""document"":""ハシ細カラスとカラス"",""dialect"":""小田洲"",""dialect_path"":""樺太/西海岸/小田洲"",""region"":""樺太"",""uri"":""http://www.aa.tufs.ac.jp/~mmine/kiki_gen/murasaki/at14aj.html"",""source_slug"":""asai-take-folktales""},{""sentence_id"":""zaidan-textbooks/karahuto-intermediate/29#5"",""text"":""aacapo aacapo! e=kamuyrusihi e=ciire na!"",""translation"":""おじさんおじさん！あなたのアザラシ皮を焦がすよ！"",""collection"":""アイヌ語教材テキスト"",""document"":""ステップ29 親族関係の表現"",""dialect"":""小田洲"",""dialect_path"":""樺太/西海岸/小田洲"",""region"":""樺太"",""uri"":""https://www.ff-ainu.or.jp/web/potal_site/files/karahuto_tyukyu.pdf"",""source_slug"":""ainu-teaching-materials""}]"
215	weysampe	38	4	3	1	"[""weysampe""]"	"[""AA研アイヌ語資料"",""アイヌ語アーカイブ"",""アイヌ語鵡川方言日本語‐アイヌ語辞典"",""平取町アイヌ口承文芸""]"	"[""沙流"",""静内"",""鵡川""]"	"[""北海道/北東/静内"",""北海道/南西/沙流"",""北海道/南西/鵡川""]"	"[""北海道""]"	"[{""value"":""weysampe"",""count"":38}]"	"[{""value"":""NOUN"",""count"":10}]"	unreviewed				"[{""sentence_id"":""aa-irc/016#157"",""text"":""“somo ka un ene an wenkewtum weysampe kor pe ene humi ne kunak a=ramu kusu,"",""translation"":""「まさかこのような悪い気持ち、悪い心を持つ者であるとは思わなかったので、"",""collection"":""AA研アイヌ語資料"",""document"":""音声資料 川上まつ子さん口演・喜多直人聞き起こし・訳注：uwepeker ウウェペケㇾ 民話 13"",""dialect"":""沙流"",""dialect_path"":""北海道/南西/沙流"",""region"":""北海道"",""uri"":""https://ainugo.aa-ken.jp/main.php?id=16"",""source_slug"":""ilcaa-ainu-materials""},{""sentence_id"":""biratori/006/001#58"",""text"":""weysampe ka a=kor ka somo ki p ne arpa=an”"",""translation"":""悪い精神も私は持っていないので、行ってきます」"",""collection"":""平取町アイヌ口承文芸"",""document"":""ウエペケㇾ「ヌサコㇿカムイ　イカオピューキ」祭壇を司る神さまが私を助けた"",""dialect"":""沙流"",""dialect_path"":""北海道/南西/沙流"",""region"":""北海道"",""uri"":""https://ainugo.nam.go.jp/search/media?matCd=N006P&typeAudio=on"",""source_slug"":""biratori-ainu-oral-literature""},{""sentence_id"":""chiba-mukawa/0#1891"",""text"":""weysampe. weysampe. weysampekor. weysampekor"",""translation"":""ケチ、ケチ、けちんぼうだ、けちんぼうだ"",""collection"":""アイヌ語鵡川方言日本語‐アイヌ語辞典"",""document"":""新井田セイノ氏の言葉"",""dialect"":""鵡川"",""dialect_path"":""北海道/南西/鵡川"",""region"":""北海道"",""uri"":""https://www.gshpa.chiba-u.jp/cas/Ainu-archives/"",""source_slug"":""mukawa-dialect-dictionary-corpus""}]"
216	samani	38	3	3	1	"[""samani""]"	"[""アイヌタイムズ"",""アイヌ語ソーシャルメディアコーパス（X/Twitter）"",""アイヌ語口承文芸コーパス""]"	"[""千歳"",""様似"",""沙流・千歳""]"	"[""北海道/北東/様似"",""北海道/南西/千歳"",""北海道/南西/沙流""]"	"[""北海道""]"	"[{""value"":""samani"",""count"":38}]"	"[{""value"":""ADV"",""count"":37},{""value"":""NOUN"",""count"":1}]"	unreviewed				"[{""sentence_id"":""ainu-times/023/1#3"",""text"":""hontomo ta, Zenbê utar Samani un iyokane hine, Zyûzô Simono Gensuke neya oya utar turano cip o wa, atuy tomotuye wa Kunasiri ta sirepa ruwe ne."",""translation"":""その途中、善兵衛たちは様似に残り、重蔵は下野源助や他の仲間たちと共に舟に乗り、海を渡って国後に着いた。"",""collection"":""アイヌタイムズ"",""document"":""Kondô Zyûzô"",""dialect"":""沙流・千歳"",""dialect_path"":""北海道/南西/沙流"",""region"":""北海道"",""uri"":""https://otarunay.at-ninja.jp/taimuzu.html"",""source_slug"":""ainu-times""},{""sentence_id"":""ninjal-folklore/000#103"",""text"":""munin *samani ... samamni a(e)=kopuni"",""translation"":""腐った倒木に与えて"",""collection"":""アイヌ語口承文芸コーパス"",""document"":""ある女の話"",""dialect"":""千歳"",""dialect_path"":""北海道/南西/千歳"",""region"":""北海道"",""uri"":""https://ainu.ninjal.ac.jp/folklore/"",""source_slug"":""ninjal-folklore-corpus""},{""sentence_id"":""x-social/QWaddix#558"",""text"":""Samani kotan un `ir {i}wak` {ir-i-ta-k}or-us-pe ,tara {i} iriye-p an wa a-e-wa-p+k iram nak ka ir +i an wa ip a ik i+s i+n i+m i+t i+y-o,i+o ak-kar i an u a-we no ye yainu an artek p tap ne"",""translation"":null,""collection"":""アイヌ語ソーシャルメディアコーパス（X/Twitter）"",""document"":""Qateri Waddi (@QWaddix)"",""dialect"":null,""dialect_path"":null,""region"":null,""uri"":""https://x.com/QWaddix/status/1804689041897508938"",""source_slug"":null}]"
217	kune	38	2	1	1	"[""kune""]"	"[""アイヌ語ソーシャルメディアコーパス（X/Twitter）"",""アイヌ語ラジオ講座テキスト""]"	"[""北海道""]"	"[""北海道""]"	"[""北海道""]"	"[{""value"":""kune"",""count"":38}]"	"[{""value"":""VERB"",""count"":24},{""value"":""NOUN"",""count"":2}]"	unreviewed				"[{""sentence_id"":""x-social/QWaddix#47"",""text"":""kuani anakne sine an situ otta kuanine kunne sumari kune."",""translation"":""とある山に住まう黒狐です。"",""collection"":""アイヌ語ソーシャルメディアコーパス（X/Twitter）"",""document"":""Qateri Waddi (@QWaddix)"",""dialect"":null,""dialect_path"":null,""region"":null,""uri"":""https://x.com/QWaddix/status/1728762921570955640"",""source_slug"":null},{""sentence_id"":""zaidan-radio/1998/1/10#3"",""text"":""kuani anakne sine ikasma hot ne pa kune."",""translation"":""私は、２１歳です。"",""collection"":""アイヌ語ラジオ講座テキスト"",""document"":""10"",""dialect"":""北海道"",""dialect_path"":""北海道"",""region"":""北海道"",""uri"":""https://www.ff-ainu.or.jp/radio/files/98-1.pdf"",""source_slug"":""ainu-radio-course""}]"
218	pooho	38	2	2	1	"[""pooho""]"	"[""千葉大学大学院人文公共学府研究プロジェクト報告書"",""浅井タケ昔話全集 I, II""]"	"[""小田洲"",""樺太（東海岸）""]"	"[""樺太/東海岸"",""樺太/西海岸/小田洲""]"	"[""樺太""]"	"[{""value"":""pooho"",""count"":38}]"	"[{""value"":""NOUN"",""count"":37}]"	unreviewed				"[{""sentence_id"":""aa-asai/004#17"",""text"":""nah yee 'ike taa, nipaapo ka nukara, rasuhu mesu, caruhu 'ohta 'ama. kasuh ka nukara rasuhu mesu, caruhu 'ohta 'ama, nah kii kusu 'an manu. キットコレ 'oyasi pooho ダナ、nah 'eraman manu."",""translation"":""と言いながら、お椀を見つけて端をちぎって口に入れる、ひしゃくを見つけて端をちぎって口に入れる、こんなことをしていたとさ。（下の娘は）これはきっとお化けの子だと思ったとさ。"",""collection"":""浅井タケ昔話全集 I, II"",""document"":""ポヌンカヨ -86"",""dialect"":""小田洲"",""dialect_path"":""樺太/西海岸/小田洲"",""region"":""樺太"",""uri"":""http://www.aa.tufs.ac.jp/~mmine/kiki_gen/murasaki/at04aj.html"",""source_slug"":""asai-take-folktales""},{""sentence_id"":""chiba-354/43#39"",""text"":""pon kapariw ohkayo kiipehe ohkayo pooho ecaskomakara."",""translation"":""小カレイ男は仕事を男の子に語り伝えた。"",""collection"":""千葉大学大学院人文公共学府研究プロジェクト報告書"",""document"":""ピウスツキ採集のアイヌ語樺太方言民話テキスト : 「カレイ男とカジカ男」"",""dialect"":""樺太（東海岸）"",""dialect_path"":""樺太/東海岸"",""region"":""樺太"",""uri"":""https://opac.ll.chiba-u.jp/da/curator/107765/354-P043.pdf"",""source_slug"":""chiba-grad-report""}]"
219	arino	37	6	4	1	"[""arino""]"	"[""アイヌ語アーカイブ"",""アイヌ語ソーシャルメディアコーパス（X/Twitter）"",""ウポポイ職員インタビュー"",""北海道立アイヌ民族文化研究センター紀要"",""葛野辰次郎の伝承"",""鍋沢元蔵筆録ノート""]"	"[""沙流"",""白老方言"",""虻田"",""静内""]"	"[""北海道/北東/静内"",""北海道/南西/沙流"",""北海道/南西/白老"",""北海道/南西/虻田""]"	"[""北海道""]"	"[{""value"":""arino"",""count"":37}]"	"[{""value"":""VERB"",""count"":3}]"	unreviewed				"[{""sentence_id"":""center/016/0#24"",""text"":""arino ta suy"",""translation"":""と"",""collection"":""北海道立アイヌ民族文化研究センター紀要"",""document"":""アイヌ語虻田方言の英雄叙事詩（yukar）テキストとその言語的特徴（2）"",""dialect"":""虻田"",""dialect_path"":""北海道/南西/虻田"",""region"":""北海道"",""uri"":""https://ainu-center.hm.pref.hokkaido.lg.jp/kankou/kiyou/pdf/kiyou16_01.pdf"",""source_slug"":""hokkaido-ainu-culture-center-bulletin""},{""sentence_id"":""nabesawa/008#105"",""text"":""e=kor a kotan a=wente yakka pirka yakun e=kopan ruwe ne hi tapan na.’ arino kane Repuysir’unkur itak ruwe ne."",""translation"":""あなたの村が荒らされてもいいのなら（結婚の話を）拒否するのですね』とレプンシㇼウンクㇰは話すのです。"",""collection"":""鍋沢元蔵筆録ノート"",""document"":""yukar-1"",""dialect"":""沙流"",""dialect_path"":""北海道/南西/沙流"",""region"":""北海道"",""uri"":""https://minpaku.repo.nii.ac.jp/record/4895/files/SER134_04.pdf"",""source_slug"":""nabesawa-motozo-notebooks""},{""sentence_id"":""nam-archive/oda-minwa/04#131"",""text"":""an=esikte naa arino an _a"",""translation"":""満載したまま"",""collection"":""アイヌ語アーカイブ"",""document"":""アリにされた弟（1980）"",""dialect"":""静内"",""dialect_path"":""北海道/北東/静内"",""region"":""北海道"",""uri"":""https://ainugo.nam.go.jp/search/media?keyword=%22%E7%B9%94%E7%94%B0%E3%82%B9%E3%83%86%E3%83%8E%E3%81%95%E3%82%93%E3%81%AE%E6%B0%91%E8%A9%B1%28%EF%BD%B1%29+%E3%82%A2%E3%83%AA%E3%81%AB%E3%81%95%E3%82%8C%E3%81%9F%E5%BC%9F%EF%BC%881980%EF%BC%89%22&typeCont=on"",""source_slug"":""nam-ainu-archive""}]"
